経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の舗装状況,側道区分,側道方位区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建ぺい率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９
505135.902,130674.619,08216,000,001,2017,08216,000,001,笠間,茨城県　笠間市押辺字落合１５２番３,08216,330,10000000000000000,_,W1,100,_,010,010,01,0,市区町村道,南西,0060,_,_,_,農家住宅、一般住宅が散在する古くからの住宅地域,岩間,4100,_,_,非線引,_,_,60,200,false,11111111111111111111111111111111111,10400,10800,11100,11400,11700,12000,12500,13100,13700,14000,14100,14100,14100,14100,14100,14100,14100,14100,14100,14100,14100,14000,14000,14000,13800,13800,13500,12900,12500,12300,11900,11600,11400,11200,11000,1010000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000010000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000011,1000000000,1000000000,1000000011,1000000000,2100000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,2000000000,1000000000,1001000000,1001000000,10000000000000
505144.227,129453.091,08229,000,002,2017,08229,000,002,稲敷,茨城県　稲敷市江戸崎字西町後甲２６３６番２３,08229,214,10000000000000000,_,W2,101,_,010,020,02,0,市区町村道,南西,0070,_,_,_,一般住宅、農家住宅、店舗等が混在する旧来からの住宅地域,滑河,12000,2住居,_,市街化,_,_,60,200,false,00000000000000000000000000001111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15700,15200,14800,14600,14500,14400,14300,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1001001000,1001000000,10000000000000
505161.630,131784.444,08225,000,001,2017,08225,000,001,常陸大宮,茨城県　常陸大宮市上小瀬字上町２０３４番３,08225,385,10000000000000000,_,W2,101,_,010,020,02,0,市区町村道,南西,0068,_,_,_,一般住宅のほかに店舗併用住宅等も介在する住宅地域,玉川村,5900,_,_,都計外,_,_,0,0,false,00000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,7150,7100,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1001000000,10000000000000
505166.710,131588.201,08225,000,003,2017,00000,000,000,常陸大宮,茨城県　常陸大宮市野口字上宿２０７１番１,08225,670,10000000000000000,_,W2,101,_,010,010,02,0,国道,南西,0085,_,_,_,農家住宅を中心に事業所等も混在する住宅地域,常陸大宮,9000,_,_,都計外,_,_,0,0,false,00000000000000000000000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,40000000000000
505169.610,130755.223,08216,000,006,2017,08216,000,006,笠間,茨城県　笠間市旭町字西原２０４番３１,08216,235,10000000000000000,_,W2,101,_,010,010,02,0,市区町村道,北西,0060,_,_,_,一般住宅が多い郊外の造成分譲住宅地域,友部,4100,_,_,非線引,_,_,60,200,false,00000001111111111111111111111111111,0,0,0,0,0,0,0,45100,47700,48900,48900,48900,48900,48700,48700,48700,48700,46000,43000,40800,38700,36800,35000,33400,32100,31100,30400,29100,27700,26300,25000,24000,23400,23000,22700,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,2000000000,1000000000,1000000011,1000010000,1000000000,1000000011,1000000000,2100000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
505170.123,129500.845,08229,000,001,2017,08229,000,001,稲敷,茨城県　稲敷市佐倉字佐倉原３３３２番７,08229,325,10000000000000000,_,W2,101,台形,010,015,02,0,市区町村道,南西,0055,_,_,_,一般住宅の中に空地等も見られる住宅地域,滑河,14000,1低専,_,市街化,_,_,40,80,true,00000000000111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,37200,37000,35000,34000,33000,31400,30400,29200,27500,25600,23600,21900,20500,19500,18600,17100,15200,13800,13000,12500,12200,12000,11900,11700,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1010000000,1000000000,1000000000,2100000000,1100000000,1100000000,1000000000,1000010000,1000000000,1000000000,1000000000,1000000000,1000000000,1001001000,1001000000,10000000000000
505175.647,131994.153,08225,000,006,2017,08225,000,006,常陸大宮,茨城県　常陸大宮市上檜沢字田尻３９６番１,08225,374,10000000000000000,_,W2,101,不整形,020,010,02,0,都道府県道,西,0110,_,背面道,_,一般住宅、農家住宅等の散在する住宅地域,玉川村,12000,_,_,都計外,_,_,0,0,false,00000000000011111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,3850,3850,3850,3850,3850,3850,3850,3850,3810,3770,3750,3740,3730,3720,3690,3680,3640,3600,3580,3560,3540,3520,3500,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,2100000000,1000000000,1000000000,1000000000,1000000000,1000010000,1000000000,1000000000,2000000000,1000000000,1001001000,1001000000,10000000000000
505203.692,130184.820,08236,000,002,2017,08236,000,002,小美玉,茨城県　小美玉市上玉里字鷺内前１０１４番３,08236,331,10000000000000000,_,W2,101,台形,010,012,02,0,市区町村道,南西,0090,_,_,_,学校等の公共施設に近い旧村央の住宅地域,高浜,4000,_,_,非線引,_,_,60,200,false,11111111111111111111111111111111111,19000,19700,20200,20600,21000,22100,23400,24800,26200,26200,26200,26200,26100,26100,26100,26000,25600,25400,25100,24700,24300,24000,23500,23000,22500,22000,21300,20500,19300,18200,17300,16600,16300,16000,15900,1100000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000100,1000000000,1000000000,1000000000,1000000000,1000000000,2000000000,1000000000,1000000011,1000000000,1000000000,1100010011,1000000000,2100000000,2000001000,1000000000,1000000000,1000000000,1000000000,1000000000,2000000000,1000000000,1001000000,1001000000,10000000000000
505218.004,130596.716,08216,009,001,2017,08216,009,001,笠間,茨城県　笠間市安居字上平２６００番２８,08216,54209,00000010000000000,_,_,110,_,010,012,00,0,市区町村道,北,0160,_,四方路,_,大規模工場が建ち並ぶ工業団地,岩間,7200,工専,_,非線引,_,_,60,200,false,00000000000000000011111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25800,25000,24000,23400,22400,21500,20800,20600,19700,18800,17900,16800,15800,15100,14700,14500,14300,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000000000,2100000000,1000000000,1000000000,1000010000,1000000000,1000000000,1000000000,1000000000,1000000000,1001100000,1001100000,10000000000000
505219.619,129176.932,08447,000,001,2017,08447,000,001,河内,茨城県　稲敷郡河内町金江津字内沼４６２４番１,08447,344,10000000000000000,_,W2,100,_,010,020,02,0,市区町村道,南東,0066,_,_,_,一般住宅のほかに店舗・事業所等も散在する住宅地域,滑河,1800,_,_,非線引,_,_,60,200,false,00000000000000000000000000000000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,12600,12400,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1001000000,10000000000000
